Warriors,Smoke+Mirrors,Imagine Dragons,170,
Paradise,Zero,Krewella,214,
Monster,Smoke+Mirrors,Imagine Dragons,249,
Mana,Zero,Krewella,176,
Ammunition,Ammunition,Krewella,206,
Take Over,Take Over,League of Legends,213,
Blade of the Ruined King,II: Grasp of the Undying,Pentakill,420,
Rise,Rise,League of Legends,192,
POP/STARS,POP/STARS,K/DA,191,
GIANTS,GIANTS,True Damage,191,
Stomp me out,Heaven on Hold,Bryce Fox,228,
Toughest Man,Grow Your Garden,ANIMA!,203,
Miami Fever,All or Nothing,Jeremiah Kane,230,
Horns,Heaven on Holf,Bryce Fox,217,
Breathe,Be Here Now,ANIMA!,234,
Overflow,Grow Your Garden,ANIMA!,227,
Piercing Light,Warsons,League of Legends,231,
Masquerade,Artemis,Lindsey Stirling,201,
The Wolf,Bounce into the Music,SIAMES,186,
Keep on Rocking,Keep on Rocking,F.O.O.L,301,
